454.99, 2.24, 735.12, 11.72, 118.11, 359.78, 313.63, 1563322
454.99, 2.24, 735.12, 11.72, 118.29, 359.77, 313.65, 1563322
454.99, 2.24, 735.12, 11.73, 118.66, 359.86, 313.68, 1563323
454.99, 2.24, 735.12, 11.73, 118.80, 359.96, 313.73, 1563323
454.99, 2.24, 735.12, 11.71, 119.02, 359.92, 313.76, 1563323
454.99, 2.24, 735.12, 11.71, 119.20, 359.92, 313.79, 1563323
454.99, 2.24, 735.12, 11.75, 119.34, 359.89, 313.83, 1563323
454.99, 2.24, 735.12, 11.72, 119.46, 359.85, 313.86, 1563323
454.99, 2.24, 735.12, 11.70, 119.53, 359.83, 313.89, 1563323
454.99, 2.24, 735.12, 11.65, 119.56, 359.85, 313.93, 1563323
454.99, 2.24, 735.12, 11.62, 119.54, 359.85, 313.96, 1563323
454.99, 2.24, 735.12, 11.65, 119.47, 359.81, 313.99, 1563323
454.99, 2.24, 735.12, 11.62, 119.40, 359.76, 314.03, 1563323
454.99, 2.24, 735.12, 11.60, 119.34, 359.74, 314.06, 1563323
454.99, 2.24, 735.12, 11.55, 119.30, 359.75, 314.10, 1563323
454.99, 2.24, 735.12, 11.45, 119.22, 359.73, 314.13, 1563323
454.99, 2.24, 735.12, 11.41, 119.05, 359.75, 314.16, 1563323
454.99, 2.24, 735.12, 11.33, 118.86, 359.77, 314.20, 1563323
454.99, 2.24, 735.12, 11.26, 118.70, 359.78, 314.23, 1563323
454.99, 2.24, 735.12, 11.26, 118.61, 359.76, 314.26, 1563323
454.99, 2.24, 735.12, 11.24, 118.58, 359.80, 314.30, 1563323
454.99, 2.24, 735.12, 11.22, 118.58, 359.81, 314.31, 1563323
454.99, 2.24, 735.12, 11.22, 118.58, 359.81, 314.31, 1563323
454.99, 2.24, 735.12, 11.07, 118.80, 359.70, 314.40, 1563323
454.99, 2.24, 735.12, 10.97, 119.06, 359.69, 314.43, 1563323
454.99, 2.24, 735.12, 10.85, 119.40, 359.71, 314.46, 1563323
454.99, 2.24, 735.12, 10.84, 119.51, 359.72, 314.46, 1563323
454.99, 2.24, 735.12, 10.84, 119.51, 359.72, 314.46, 1563323
454.99, 2.24, 735.12, 10.84, 119.51, 359.72, 314.46, 1563323
454.99, 2.24, 735.12, 10.42, 121.83, 359.59, 314.59, 1563323
454.99, 2.24, 735.12, 10.31, 122.50, 359.59, 314.63, 1563324
454.99, 2.24, 735.12, 10.25, 122.85, 359.58, 314.63, 1563324
454.99, 2.24, 735.12, 10.25, 122.85, 359.58, 314.63, 1563324
454.99, 2.24, 735.12, 10.25, 122.85, 359.58, 314.63, 1563324
